fold;lamb;nleaves;trainaccu_CART;testaccu_CART
NA;0.1;1.0;0.5372810192558274;NA
NA;0.05;1.0;0.5372810192558274;NA
NA;0.025;2.0;0.6389170406833647;NA
NA;0.01;3.0;0.6389170406833647;NA
NA;0.005;4.0;0.6613580425655132;NA
NA;0.0025;6.0;0.6678731721442015;NA
NA;0.001;9.0;0.6678731721442015;NA
NA;0.0005;14.0;0.6683075141161141;NA
NA;0.0001;29.0;0.6736643984363689;NA
