samples,features,runtime
1,1,0.0029020309448242188
1,2,0.0028641223907470703
1,3,0.0031969547271728516
1,4,0.0030710697174072266
1,5,0.0030710697174072266
1,6,0.003282308578491211
1,7,0.0032329559326171875
1,8,0.014307022094726562
1,9,0.0034418106079101562
1,10,0.003464937210083008
1,11,0.0038068294525146484
1,12,0.004119873046875
692,1,0.06866621971130371
692,2,0.049658775329589844
692,3,0.012727022171020508
692,4,0.11333489418029785
692,5,0.02086472511291504
692,6,0.12281608581542969
692,7,0.12240123748779297
692,8,0.13111209869384766
692,9,0.13848519325256348
692,10,0.21662592887878418
692,11,0.1259441375732422
692,12,0.22833895683288574
1383,1,0.026945114135742188
1383,2,0.12625503540039062
1383,3,0.12394499778747559
1383,4,0.12014198303222656
1383,5,0.1306018829345703
1383,6,0.1313929557800293
1383,7,0.06261205673217773
1383,8,0.27874088287353516
1383,9,0.25238800048828125
1383,10,0.15277099609375
1383,11,0.35436320304870605
1383,12,0.2650151252746582
2074,1,0.13441801071166992
2074,2,0.14364004135131836
2074,3,0.2112581729888916
2074,4,0.14112091064453125
2074,5,0.23622417449951172
2074,6,0.26386380195617676
2074,7,0.3246309757232666
2074,8,0.2890000343322754
2074,9,0.2894747257232666
2074,10,0.34258103370666504
2074,11,0.36986589431762695
2074,12,0.3994269371032715
2765,1,0.21897602081298828
2765,2,0.14465594291687012
2765,3,0.16164398193359375
2765,4,0.3242180347442627
2765,5,0.2586178779602051
2765,6,0.1832561492919922
2765,7,0.4389760494232178
2765,8,0.39016079902648926
2765,9,0.49141883850097656
2765,10,0.6130669116973877
2765,11,0.45123910903930664
2765,12,0.5914602279663086
3456,1,0.12152099609375
3456,2,0.24423599243164062
3456,3,0.26243114471435547
3456,4,0.34688735008239746
3456,5,0.2723379135131836
3456,6,0.38662290573120117
3456,7,0.4877350330352783
3456,8,0.49123215675354004
3456,9,0.5358231067657471
3456,10,0.5976970195770264
3456,11,0.6365921497344971
3456,12,0.63277268409729
4147,1,0.18397283554077148
4147,2,0.3182668685913086
4147,3,0.5118038654327393
4147,4,0.7367720603942871
4147,5,0.3954300880432129
4147,6,0.49103403091430664
4147,7,0.6239118576049805
4147,8,0.5830509662628174
4147,9,0.5525381565093994
4147,10,0.6263539791107178
4147,11,0.7566869258880615
4147,12,0.7480578422546387
4838,1,0.29480719566345215
4838,2,0.3370208740234375
4838,3,0.38917088508605957
4838,4,0.4531269073486328
4838,5,0.41864013671875
4838,6,0.7077879905700684
4838,7,0.5230309963226318
4838,8,0.6228718757629395
4838,9,0.6294989585876465
4838,10,0.7563159465789795
4838,11,0.7458240985870361
4838,12,0.8701071739196777
5529,1,0.2493588924407959
5529,2,0.3457319736480713
5529,3,0.4221608638763428
5529,4,0.895348072052002
5529,5,0.8638589382171631
5529,6,0.7575311660766602
5529,7,0.8836050033569336
5529,8,0.8211660385131836
5529,9,1.162520170211792
5529,10,1.1229350566864014
5529,11,0.8921637535095215
5529,12,1.1242549419403076
6220,1,0.37174081802368164
6220,2,0.6289162635803223
6220,3,0.40984010696411133
6220,4,0.5463471412658691
6220,5,0.5648860931396484
6220,6,0.6402690410614014
6220,7,0.8780062198638916
6220,8,0.7483057975769043
6220,9,0.8841278553009033
6220,10,1.0864601135253906
6220,11,0.9303140640258789
6220,12,0.9023392200469971
