samples,features,runtime
1,1,0.04312872886657715
1,2,0.03508138656616211
1,3,0.027770519256591797
1,4,0.04067397117614746
1,5,0.038697242736816406
1,6,0.04010152816772461
1,7,0.03428530693054199
1,8,0.027703523635864258
1,9,0.03352761268615723
1,10,0.03841590881347656
1,11,0.037149667739868164
1,12,0.032700300216674805
692,1,0.05156707763671875
692,2,0.08431077003479004
692,3,0.057435035705566406
692,4,0.0685586929321289
692,5,0.07898688316345215
692,6,0.12912297248840332
692,7,0.21928930282592773
692,8,0.389148473739624
692,9,0.8465027809143066
692,10,1.9307739734649658
692,11,4.239722728729248
692,12,5.961457014083862
1383,1,0.051314592361450195
1383,2,0.05503678321838379
1383,3,0.10153317451477051
1383,4,0.08553242683410645
1383,5,0.09598278999328613
1383,6,0.16756939888000488
1383,7,0.23801946640014648
1383,8,0.35189008712768555
1383,9,0.7985935211181641
1383,10,1.7825422286987305
1383,11,4.3672730922698975
1383,12,6.115293741226196
2074,1,0.06557822227478027
2074,2,0.07083439826965332
2074,3,0.08911991119384766
2074,4,0.09608268737792969
2074,5,0.11910104751586914
2074,6,0.19660139083862305
2074,7,0.2508351802825928
2074,8,0.3287317752838135
2074,9,0.6969833374023438
2074,10,1.7218983173370361
2074,11,4.308151960372925
2074,12,5.7173051834106445
2765,1,0.06859588623046875
2765,2,0.09614443778991699
2765,3,0.0953059196472168
2765,4,0.11613011360168457
2765,5,0.1284337043762207
2765,6,0.17585468292236328
2765,7,0.2780742645263672
2765,8,0.3604922294616699
2765,9,0.7565045356750488
2765,10,1.6404902935028076
2765,11,4.40479850769043
2765,12,5.876974582672119
3456,1,0.09071516990661621
3456,2,0.09645462036132812
3456,3,0.11869072914123535
3456,4,0.12220501899719238
3456,5,0.16894817352294922
3456,6,0.20041728019714355
3456,7,0.31348538398742676
3456,8,0.40244174003601074
3456,9,0.7174999713897705
3456,10,1.5222156047821045
3456,11,4.124993324279785
3456,12,5.435545206069946
4147,1,0.09390020370483398
4147,2,0.11180567741394043
4147,3,0.12190866470336914
4147,4,0.14835023880004883
4147,5,0.17116999626159668
4147,6,0.2263650894165039
4147,7,0.32947397232055664
4147,8,0.42549896240234375
4147,9,0.7452030181884766
4147,10,1.5517330169677734
4147,11,4.194236516952515
4147,12,5.335028409957886
4838,1,0.11034107208251953
4838,2,0.1244511604309082
4838,3,0.14658308029174805
4838,4,0.1632671356201172
4838,5,0.18073248863220215
4838,6,0.24447917938232422
4838,7,0.378568172454834
4838,8,0.44439220428466797
4838,9,0.770575761795044
4838,10,1.5634667873382568
4838,11,4.205997705459595
4838,12,5.557225704193115
5529,1,0.12027549743652344
5529,2,0.1512312889099121
5529,3,0.1511831283569336
5529,4,0.1784377098083496
5529,5,0.19450736045837402
5529,6,0.2860727310180664
5529,7,0.3697631359100342
5529,8,0.46045422554016113
5529,9,0.8152322769165039
5529,10,1.6566336154937744
5529,11,4.119558095932007
5529,12,5.546088218688965
6220,1,0.12266731262207031
6220,2,0.14798617362976074
6220,3,0.1803584098815918
6220,4,0.19648361206054688
6220,5,0.232771635055542
6220,6,0.2908947467803955
6220,7,0.4087698459625244
6220,8,0.4693331718444824
6220,9,0.8017663955688477
6220,10,1.8100605010986328
6220,11,4.364464044570923
6220,12,5.629626989364624
