samples,features,runtime
1,1,0.05262112617492676
1,2,0.11312508583068848
1,3,0.1268777847290039
1,4,0.12780117988586426
1,5,0.04158616065979004
1,6,0.03782486915588379
1,7,0.07654714584350586
1,8,0.02370309829711914
1,9,0.063629150390625
1,10,0.13239693641662598
1,11,0.07799386978149414
1,12,0.06067609786987305
692,1,0.05078387260437012
692,2,0.06156587600708008
692,3,0.2064352035522461
692,4,0.2035820484161377
692,5,0.6796538829803467
692,6,1.1774940490722656
692,7,4.65488600730896
692,8,5.720340013504028
692,9,17.45904517173767
692,10,52.39360594749451
692,11,60.17285513877869
692,12,60.19356989860535
1383,1,0.07851791381835938
1383,2,0.12204623222351074
1383,3,0.17998003959655762
1383,4,0.22036504745483398
1383,5,0.27602410316467285
1383,6,1.979421854019165
1383,7,8.000144720077515
1383,8,9.745643138885498
1383,9,23.647429943084717
1383,10,57.603647232055664
1383,11,60.28458499908447
1383,12,60.25193405151367
2074,1,0.06885814666748047
2074,2,0.2359161376953125
2074,3,0.17948293685913086
2074,4,0.2416670322418213
2074,5,0.8522131443023682
2074,6,2.393733263015747
2074,7,4.281156778335571
2074,8,6.054478883743286
2074,9,16.28721809387207
2074,10,44.12511491775513
2074,11,60.31989598274231
2074,12,60.379563093185425
2765,1,0.15859293937683105
2765,2,0.2580580711364746
2765,3,0.2617201805114746
2765,4,0.6017987728118896
2765,5,1.6485927104949951
2765,6,3.9329850673675537
2765,7,6.6994030475616455
2765,8,13.93182110786438
2765,9,26.877341985702515
2765,10,58.84689474105835
2765,11,60.40142107009888
2765,12,60.49667716026306
3456,1,0.11933112144470215
3456,2,0.6331119537353516
3456,3,1.1295149326324463
3456,4,0.36524486541748047
3456,5,0.4050889015197754
3456,6,6.075812101364136
3456,7,9.742224931716919
3456,8,9.153867721557617
3456,9,29.92988896369934
3456,10,60.36520314216614
3456,11,60.51072692871094
3456,12,60.44876790046692
4147,1,0.22048115730285645
4147,2,0.8661420345306396
4147,3,0.8214030265808105
4147,4,1.9164469242095947
4147,5,2.179677963256836
4147,6,5.926435947418213
4147,7,17.330371856689453
4147,8,18.68464422225952
4147,9,31.43239402770996
4147,10,60.54873085021973
4147,11,60.59358620643616
4147,12,60.55651879310608
4838,1,0.45253586769104004
4838,2,0.35926294326782227
4838,3,1.4500579833984375
4838,4,1.466284990310669
4838,5,1.029289960861206
4838,6,3.518118143081665
4838,7,8.772670984268188
4838,8,14.139892101287842
4838,9,38.692835092544556
4838,10,59.49429988861084
4838,11,60.8255820274353
4838,12,61.024309158325195
5529,1,0.6705489158630371
5529,2,1.094019889831543
5529,3,0.7835428714752197
5529,4,1.833333969116211
5529,5,1.772434949874878
5529,6,20.923619270324707
5529,7,60.6434600353241
5529,8,29.024484872817993
5529,9,60.75540280342102
5529,10,61.09552884101868
5529,11,60.82830214500427
5529,12,60.86741495132446
6220,1,0.6477530002593994
6220,2,1.3338580131530762
6220,3,0.4581172466278076
6220,4,0.5104620456695557
6220,5,0.568450927734375
6220,6,0.9885501861572266
6220,7,0.6512241363525391
6220,8,0.7778310775756836
6220,9,0.8595149517059326
6220,10,0.9443109035491943
6220,11,0.9783411026000977
6220,12,1.1046249866485596
