time,local_table_size
0.04694700241088867,0
0.5481572151184082,286
1.0702121257781982,484
1.580319881439209,628
2.08333420753479,755
2.5851728916168213,943
3.084523916244507,1094
3.588088035583496,1315
4.088179111480713,1527
4.5890421867370605,1648
5.090301036834717,1855
5.596034049987793,1980
6.206705093383789,2097
6.708003044128418,2369
7.214478015899658,2439
7.730568170547485,2626
8.232053995132446,2777
8.734281063079834,2839
9.234678983688354,2951
9.734509944915771,3004
10.239765882492065,3063
10.740312099456787,3199
11.245187044143677,3275
11.741427183151245,3392
12.241475105285645,3428
12.7411949634552,3428
13.241152048110962,3428
13.741289854049683,3428
14.241354942321777,3428
14.741204977035522,3428
15.24199390411377,3428
15.744850158691406,3428
16.24590301513672,3448
16.745653867721558,3450
17.245402097702026,3474
17.74547505378723,3531
18.245638132095337,3571
