time,local_table_size
0.06892800331115723,0
0.5778412818908691,237
1.1295361518859863,359
1.6302142143249512,443
2.1874160766601562,557
2.690096139907837,605
3.218496084213257,699
3.722982168197632,750
4.281810283660889,876
4.788646221160889,950
5.291575193405151,973
5.808021068572998,1022
6.309127330780029,1032
6.813184022903442,1065
7.325778245925903,1080
7.887009143829346,1163
8.402957201004028,1233
8.904531955718994,1276
9.411028146743774,1304
9.911762237548828,1355
10.433541297912598,1410
10.938271045684814,1529
11.465248107910156,1580
12.013623237609863,1635
12.546519041061401,1709
13.139556169509888,1757
13.643119096755981,1785
14.230569124221802,1808
14.736725091934204,1820
15.249215126037598,1838
15.78240418434143,1934
16.302160263061523,1990
16.80943012237549,2043
17.35847806930542,2109
17.875890254974365,2129
18.37572407722473,2153
18.886006116867065,2191
19.424572229385376,2267
19.946117162704468,2320
20.4667911529541,2383
20.96955108642578,2423
21.49962615966797,2503
22.000141143798828,2543
22.521108150482178,2586
23.020936250686646,2605
23.525840282440186,2627
24.035603284835815,2652
24.54823398590088,2701
25.0971941947937,2796
25.65816330909729,2898
26.18142008781433,2965
26.68396019935608,3084
27.22477436065674,3147
27.73184895515442,3186
28.30599021911621,3212
28.817613124847412,3236
29.34162926673889,3242
29.849668264389038,3262
30.376972198486328,3309
31.0542893409729,3323
31.58699321746826,3360
32.10547614097595,3383
32.61887526512146,3411
33.26055717468262,3458
33.765517234802246,3505
34.267149209976196,3532
34.78016018867493,3562
35.282891035079956,3599
35.788103342056274,3632
36.29418325424194,3647
36.8552622795105,3763
37.41320514678955,3789
37.92552328109741,3813
38.45122933387756,3846
38.99157929420471,3874
39.491005182266235,3881
39.99513220787048,3915
40.55442833900452,3986
41.07391619682312,4023
41.582587242126465,4031
42.13733506202698,4045
42.64686632156372,4060
43.175997257232666,4131
43.72309422492981,4150
44.22425818443298,4177
44.72517919540405,4218
45.23609399795532,4267
45.74473023414612,4277
46.26541209220886,4294
46.776886224746704,4322
47.39371919631958,4330
47.91119623184204,4357
48.41305327415466,4383
48.92751622200012,4415
49.45333218574524,4444
49.955960273742676,4462
50.45865440368652,4477
50.97531318664551,4500
51.47763419151306,4514
