time,local_table_size
0.07000398635864258,0
0.5836222171783447,237
1.0895872116088867,340
1.5932691097259521,438
2.0956342220306396,538
2.6025261878967285,595
3.1030170917510986,680
3.6070291996002197,744
4.172581195831299,843
4.7139482498168945,941
5.245650291442871,973
5.792296409606934,1022
6.333644151687622,1032
6.97126030921936,1071
7.47546911239624,1085
8.08283019065857,1198
8.584349393844604,1249
9.096253395080566,1280
9.59669303894043,1322
10.169932126998901,1391
10.726753234863281,1489
11.226381063461304,1561
11.728050231933594,1593
12.23867917060852,1665
12.745341300964355,1723
13.246057033538818,1770
13.791275024414062,1794
14.305410146713257,1811
14.818172216415405,1827
15.340625286102295,1881
15.895625114440918,1936
16.421332120895386,2016
16.923535108566284,2052
17.446101188659668,2116
17.951516151428223,2133
18.455133199691772,2167
18.99538516998291,2222
19.5019211769104,2272
20.00535297393799,2323
20.521599054336548,2393
21.03195595741272,2423
21.554972171783447,2510
22.078118324279785,2551
22.586847066879272,2589
23.151275157928467,2608
23.654105186462402,2641
24.213664054870605,2662
24.715789079666138,2709
25.228422164916992,2845
25.728434324264526,2909
26.234763145446777,2968
26.74089026451111,3085
27.24226713180542,3151
27.75006413459778,3186
28.314805030822754,3212
28.820832014083862,3236
29.33304715156555,3242
29.832749128341675,3262
30.35566210746765,3309
30.866849184036255,3322
31.421287298202515,3357
31.94432306289673,3376
32.44664216041565,3399
33.015746116638184,3432
33.55561113357544,3494
34.05764198303223,3511
34.58111810684204,3556
35.101848125457764,3597
35.642019271850586,3628
36.153911113739014,3644
36.699995279312134,3747
37.20645809173584,3782
37.72107815742493,3803
38.283557176589966,3831
38.78869605064392,3869
39.29767608642578,3877
39.82511115074158,3906
40.328930139541626,3953
40.837231159210205,4012
41.34058499336243,4024
41.84600615501404,4033
42.36285209655762,4051
42.8691520690918,4088
43.39151620864868,4140
43.92649030685425,4152
44.44536805152893,4204
44.99658918380737,4251
45.51382613182068,4273
46.024535179138184,4292
46.56426429748535,4313
47.26450729370117,4330
47.77801442146301,4354
48.30740928649902,4375
48.89073920249939,4415
49.397088050842285,4435
49.90106701850891,4458
50.40488123893738,4477
50.94090700149536,4497
51.474956035614014,4514
