time,local_table_size
0.03391098976135254,0
0.5374710559844971,374
1.0414400100708008,761
1.5418729782104492,1037
2.0439059734344482,1157
2.5493409633636475,1289
3.0506579875946045,1409
3.551900863647461,1574
4.0531651973724365,1630
4.563097953796387,1713
5.06528902053833,1986
5.567854881286621,2149
6.085234880447388,2266
6.587097883224487,2451
7.086827039718628,2584
7.586904048919678,2911
8.091343879699707,3077
8.593437910079956,3210
9.094360828399658,3377
9.596377849578857,3629
10.097124814987183,3792
10.598939895629883,3992
11.103873014450073,4164
11.604212045669556,4276
12.105037927627563,4378
12.635814905166626,4463
13.138134002685547,4544
13.678083181381226,4553
13.782994985580444,4561
