fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.768292682927;0.666666666667
1;2;4;0.80487804878;0.714285714286
1;3;8;0.90243902439;0.809523809524
1;4;16;0.987804878049;0.952380952381
1;5;32;1.0;0.952380952381
2;1;2;0.710843373494;0.780487804878
2;2;4;0.819277108434;0.780487804878
2;3;8;0.903614457831;0.926829268293
2;4;16;0.975903614458;0.90243902439
2;5;32;1.0;1.0
3;1;2;0.722891566265;0.756097560976
3;2;4;0.855421686747;0.756097560976
3;3;8;0.951807228916;0.829268292683
3;4;16;0.975903614458;0.90243902439
3;5;32;1.0;1.0
