fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.679012345679;0.658536585366
1;2;4;0.802469135802;0.585365853659
1;3;8;0.851851851852;0.658536585366
1;4;16;0.938271604938;0.780487804878
1;5;32;0.987654320988;0.829268292683
2;1;2;0.740740740741;0.536585365854
2;2;4;0.851851851852;0.487804878049
2;3;8;0.888888888889;0.756097560976
2;4;16;0.950617283951;0.80487804878
2;5;32;1.0;0.80487804878
3;1;2;0.609756097561;0.625
3;2;4;0.756097560976;0.825
3;3;8;0.865853658537;0.85
3;4;16;0.939024390244;0.8
3;5;32;0.987804878049;0.775
