fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.5236660929432013;0.5184972755950674
2;0.1;1.0;0.517567761365266;0.5306942053930006
3;0.1;1.0;0.5245948659113724;0.5166379804934021
1;0.05;2.0;0.7010900745840505;0.6951534270146258
2;0.05;2.0;0.7008461207514699;0.6956397016637981
3;0.05;2.0;0.695396529470816;0.7065404475043029
1;0.025;2.0;0.7010900745840505;0.6951534270146258
2;0.025;2.0;0.7008461207514699;0.6956397016637981
3;0.025;2.0;0.695396529470816;0.7065404475043029
1;0.01;2.0;0.7010900745840505;0.6951534270146258
2;0.01;2.0;0.7008461207514699;0.6956397016637981
3;0.01;2.0;0.695396529470816;0.7065404475043029
1;0.005;4.0;0.7010900745840505;0.6951534270146258
2;0.005;4.0;0.7008461207514699;0.6956397016637981
3;0.005;4.0;0.695396529470816;0.7065404475043029
1;0.0025;5.0;0.7086919104991394;0.6980212216805277
2;0.0025;5.0;0.7072995841101392;0.7008032128514057
3;0.0025;4.0;0.695396529470816;0.7065404475043029
1;0.001;10.0;0.7086919104991394;0.6980212216805277
2;0.001;10.0;0.7085902767818729;0.7028112449799196
1;0.001;10.0;0.7086919104991394;0.6980212216805277
2;0.001;10.0;0.7085902767818729;0.7028112449799196
3;0.001;11.0;0.7034275060949376;0.7174411933448078
