fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.7039930555555556;0.6927083333333334
2;0.1;1.0;0.6918402777777778;0.7170138888888888
3;0.1;1.0;0.7048611111111112;0.6909722222222222
1;0.05;3.0;0.8550347222222222;0.8559027777777778
2;0.05;3.0;0.8532986111111112;0.859375
3;0.05;3.0;0.8576388888888888;0.8506944444444444
1;0.025;3.0;0.8550347222222222;0.8559027777777778
2;0.025;3.0;0.8532986111111112;0.859375
3;0.025;3.0;0.8576388888888888;0.8506944444444444
1;0.01;6.0;0.9019097222222222;0.8697916666666666
2;0.01;7.0;0.9270833333333334;0.9201388888888888
3;0.01;7.0;0.9270833333333334;0.9201388888888888
1;0.005;8.0;0.9071180555555556;0.8871527777777778
2;0.005;7.0;0.9270833333333334;0.9201388888888888
3;0.005;7.0;0.9270833333333334;0.9201388888888888
1;0.0025;10.0;0.9071180555555556;0.8871527777777778
2;0.0025;8.0;0.9270833333333334;0.9201388888888888
3;0.0025;9.0;0.9270833333333334;0.9201388888888888
1;0.001;13.0;0.9088541666666666;0.8871527777777778
2;0.001;13.0;0.9288194444444444;0.9201388888888888
3;0.001;10.0;0.9270833333333334;0.9201388888888888
