fold;lamb;nleaves;trainaccu_CART;testaccu_CART;totaltime;time_c;leaves_c
NA;0.1;2;0.7338709677419355;NA;0.02862381935119629;0.013630867004394531;[(-1,), (1,)]
NA;0.05;5;0.9112903225806451;NA;0.3210790157318115;0.10813689231872559;[(1,), (-7, -2, -1), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7)]
NA;0.025;8;1.0;NA;25.40519618988037;0.3050851821899414;[(1,), (-10, -1, 9), (-9, -1, 10), (-1, 9, 10), (-10, -9, -7, -2, -1), (-10, -9, -2, -1, 7), (-10, -9, -7, -1, 2), (-10, -9, -1, 2, 7)]
NA;0.01;8;1.0;NA;75.6809389591217;0.0960378646850586;[(1,), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7), (-10, -9, -7, -2, -1), (-10, -7, -2, -1, 9), (-9, -7, -2, -1, 10), (-7, -2, -1, 9, 10)]
NA;0.005;8;1.0;NA;97.47500705718994;0.11786484718322754;[(1,), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7), (-10, -9, -7, -2, -1), (-10, -7, -2, -1, 9), (-9, -7, -2, -1, 10), (-7, -2, -1, 9, 10)]
NA;0.0025;8;1.0;NA;96.43367218971252;0.11685013771057129;[(1,), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7), (-10, -9, -7, -2, -1), (-10, -7, -2, -1, 9), (-9, -7, -2, -1, 10), (-7, -2, -1, 9, 10)]
NA;0.001;8;1.0;NA;96.51604890823364;0.1184840202331543;[(1,), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7), (-10, -9, -7, -2, -1), (-10, -7, -2, -1, 9), (-9, -7, -2, -1, 10), (-7, -2, -1, 9, 10)]
NA;0.0005;8;1.0;NA;96.60276079177856;0.11983275413513184;[(1,), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7), (-10, -9, -7, -2, -1), (-10, -7, -2, -1, 9), (-9, -7, -2, -1, 10), (-7, -2, -1, 9, 10)]
NA;0.0001;8;1.0;NA;97.00618696212769;0.11737394332885742;[(1,), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7), (-10, -9, -7, -2, -1), (-10, -7, -2, -1, 9), (-9, -7, -2, -1, 10), (-7, -2, -1, 9, 10)]
