nrule,ndata,totaltime,time_c,COUNT,C_c,accu
12.0,6907.0,8.0111563205719,0.4586622714996338,201981.0,6474.0,0.669031417402635
12.0,13814.0,7.952437162399292,0.4802980422973633,201981.0,6474.0,0.669031417402635
12.0,27628.0,8.117420196533203,0.6522901058197021,201981.0,6474.0,0.669031417402635
12.0,55256.0,8.704138994216919,1.0432791709899902,201981.0,6474.0,0.669031417402635
12.0,110512.0,9.63613224029541,1.816391944885254,201981.0,6474.0,0.669031417402635
12.0,221024.0,11.751604795455933,3.495595693588257,201981.0,6474.0,0.669031417402635
12.0,442048.0,16.105021953582764,6.9629199504852295,201981.0,6474.0,0.669031417402635
12.0,884096.0,24.761646270751953,13.848541021347046,201981.0,6474.0,0.669031417402635
12.0,1768192.0,42.25383496284485,27.3837730884552,201981.0,6474.0,0.669031417402635
12.0,3536384.0,78.32272005081177,55.5507071018219,201981.0,6474.0,0.669031417402635
12.0,7072768.0,151.58166003227234,111.76233005523682,201981.0,6474.0,0.669031417402635
12.0,14145536.0,297.69344687461853,223.74844789505005,201981.0,6474.0,0.669031417402635
