nrule,ndata,totaltime,time_c,COUNT,C_c,accu
4.0,6907.0,0.7531960010528564,0.4207119941711426,365.0,37.0,0.669031417402635
4.0,13814.0,1.5305438041687012,0.8429739475250244,365.0,37.0,0.669031417402635
4.0,20721.0,2.228019952774048,1.2432880401611328,365.0,37.0,0.669031417402635
4.0,27628.0,2.9922308921813965,1.6586339473724365,365.0,37.0,0.669031417402635
4.0,34535.0,3.7074859142303467,2.0865530967712402,365.0,37.0,0.669031417402635
4.0,41442.0,4.576518774032593,2.5413060188293457,365.0,37.0,0.669031417402635
4.0,48349.0,5.224670171737671,2.953193187713623,365.0,37.0,0.669031417402635
4.0,55256.0,6.13409423828125,3.382951021194458,365.0,37.0,0.669031417402635
4.0,62163.0,6.666254997253418,3.723177909851074,365.0,37.0,0.669031417402635
5.0,6907.0,1.7588989734649658,1.2445099353790283,1117.0,406.0,0.669031417402635
5.0,13814.0,3.637971878051758,2.589268922805786,1117.0,406.0,0.669031417402635
5.0,20721.0,5.839457988739014,4.154130220413208,1117.0,406.0,0.669031417402635
5.0,27628.0,7.405410051345825,5.341346025466919,1117.0,406.0,0.669031417402635
5.0,34535.0,9.101975917816162,6.5114850997924805,1117.0,406.0,0.669031417402635
5.0,41442.0,11.052616834640503,7.998950719833374,1117.0,406.0,0.669031417402635
5.0,48349.0,12.308794021606445,8.749608993530273,1117.0,406.0,0.669031417402635
5.0,55256.0,14.282232999801636,10.25897479057312,1117.0,406.0,0.669031417402635
5.0,62163.0,15.673094987869263,11.149508953094482,1117.0,406.0,0.669031417402635
6.0,6907.0,3.391418933868408,1.9687409400939941,2429.0,750.0,0.669031417402635
6.0,13814.0,6.878680229187012,4.123975038528442,2429.0,750.0,0.669031417402635
6.0,20721.0,9.869899988174438,5.860372066497803,2429.0,750.0,0.669031417402635
6.0,27628.0,13.38441801071167,7.972285270690918,2429.0,750.0,0.669031417402635
6.0,34535.0,16.696808099746704,9.81431794166565,2429.0,750.0,0.669031417402635
6.0,41442.0,20.003904104232788,11.984501123428345,2429.0,750.0,0.669031417402635
6.0,48349.0,23.200195789337158,13.860896825790405,2429.0,750.0,0.669031417402635
