nrule,ndata,totaltime,time_c,COUNT,C_c,accu
4.0,6907.0,0.06308984756469727,0.04659295082092285,365.0,37.0,0.669031417402635
4.0,13814.0,0.1009671688079834,0.07688689231872559,365.0,37.0,0.669031417402635
4.0,20721.0,0.12306094169616699,0.10940790176391602,365.0,37.0,0.669031417402635
4.0,27628.0,0.1443309783935547,0.13228511810302734,365.0,37.0,0.669031417402635
4.0,34535.0,0.178056001663208,0.16615724563598633,365.0,37.0,0.669031417402635
4.0,41442.0,0.22132587432861328,0.20853185653686523,365.0,37.0,0.669031417402635
4.0,48349.0,0.24294400215148926,0.23026609420776367,365.0,37.0,0.669031417402635
4.0,55256.0,0.2684462070465088,0.2555828094482422,365.0,37.0,0.669031417402635
4.0,62163.0,0.3125448226928711,0.29763007164001465,365.0,37.0,0.669031417402635
5.0,6907.0,0.08224701881408691,0.05387592315673828,1117.0,406.0,0.669031417402635
5.0,13814.0,0.12413883209228516,0.09496903419494629,1117.0,406.0,0.669031417402635
5.0,20721.0,0.17997121810913086,0.14191699028015137,1117.0,406.0,0.669031417402635
5.0,27628.0,0.1988978385925293,0.17222189903259277,1117.0,406.0,0.669031417402635
5.0,34535.0,0.25872206687927246,0.20247602462768555,1117.0,406.0,0.669031417402635
5.0,41442.0,0.2845799922943115,0.2540128231048584,1117.0,406.0,0.669031417402635
5.0,48349.0,0.32235097885131836,0.2901449203491211,1117.0,406.0,0.669031417402635
5.0,55256.0,0.35872793197631836,0.32845115661621094,1117.0,406.0,0.669031417402635
5.0,62163.0,0.3858370780944824,0.35578012466430664,1117.0,406.0,0.669031417402635
6.0,6907.0,0.14086699485778809,0.07468223571777344,2429.0,750.0,0.669031417402635
6.0,13814.0,0.1901412010192871,0.1207282543182373,2429.0,750.0,0.669031417402635
6.0,20721.0,0.21857404708862305,0.15830707550048828,2429.0,750.0,0.669031417402635
6.0,27628.0,0.27916884422302246,0.21313190460205078,2429.0,750.0,0.669031417402635
6.0,34535.0,0.3066129684448242,0.23957085609436035,2429.0,750.0,0.669031417402635
6.0,41442.0,0.34056711196899414,0.27783799171447754,2429.0,750.0,0.669031417402635
6.0,48349.0,0.38675880432128906,0.3227357864379883,2429.0,750.0,0.669031417402635
6.0,55256.0,0.4470031261444092,0.3783271312713623,2429.0,750.0,0.669031417402635
6.0,62163.0,0.4767909049987793,0.4103868007659912,2429.0,750.0,0.669031417402635
7.0,6907.0,0.20827436447143555,0.087982177734375,4315.0,1205.0,0.669031417402635
7.0,13814.0,0.2642829418182373,0.14249491691589355,4315.0,1205.0,0.669031417402635
7.0,20721.0,0.3268868923187256,0.18723773956298828,4315.0,1205.0,0.669031417402635
7.0,27628.0,0.36468982696533203,0.2450549602508545,4315.0,1205.0,0.669031417402635
7.0,34535.0,0.4333360195159912,0.31397414207458496,4315.0,1205.0,0.669031417402635
7.0,41442.0,0.45147204399108887,0.32900309562683105,4315.0,1205.0,0.669031417402635
