fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.72972972973;0.769230769231
1;2;4;0.81981981982;0.846153846154
1;3;8;0.900900900901;1.0
1;4;16;0.981981981982;0.923076923077
2;1;2;0.756756756757;0.538461538462
2;2;4;0.81981981982;0.846153846154
2;3;8;0.90990990991;0.923076923077
2;4;16;0.972972972973;1.0
3;1;2;0.738738738739;0.692307692308
3;2;4;0.801801801802;0.846153846154
3;3;8;0.900900900901;1.0
3;4;16;0.972972972973;1.0
4;1;2;0.720720720721;0.846153846154
4;2;4;0.837837837838;0.692307692308
4;3;8;0.90990990991;0.923076923077
4;4;16;0.990990990991;0.846153846154
5;1;2;0.741071428571;0.666666666667
5;2;4;0.803571428571;1.0
5;3;8;0.901785714286;1.0
5;4;16;0.973214285714;0.916666666667
6;1;2;0.723214285714;0.833333333333
6;2;4;0.821428571429;0.833333333333
6;3;8;0.910714285714;0.916666666667
6;4;16;0.973214285714;1.0
7;1;2;0.732142857143;0.75
7;2;4;0.839285714286;0.666666666667
7;3;8;0.928571428571;0.75
7;4;16;0.973214285714;1.0
8;1;2;0.732142857143;0.75
8;2;4;0.830357142857;0.75
8;3;8;0.928571428571;0.75
8;4;16;0.973214285714;1.0
9;1;2;0.723214285714;0.833333333333
9;2;4;0.821428571429;0.833333333333
9;3;8;0.910714285714;0.916666666667
9;4;16;0.973214285714;1.0
10;1;2;0.741071428571;0.666666666667
10;2;4;0.830357142857;0.75
10;3;8;0.910714285714;0.916666666667
10;4;16;0.973214285714;0.916666666667
