CMDLINE /usr/bin/python3 test_memory.py
MEM 1.804688 1544307298.5146
MEM 22.808594 1544307298.6150
MEM 33.734375 1544307298.7153
MEM 50.425781 1544307298.8155
MEM 58.000000 1544307298.9157
MEM 58.000000 1544307299.0162
MEM 58.296875 1544307299.1163
MEM 58.296875 1544307299.2166
MEM 58.347656 1544307299.3169
MEM 58.347656 1544307299.4171
MEM 58.347656 1544307299.5174
MEM 58.347656 1544307299.6175
MEM 58.347656 1544307299.7176
MEM 58.347656 1544307299.8177
MEM 58.347656 1544307299.9178
MEM 58.347656 1544307300.0180
MEM 58.347656 1544307300.1182
MEM 58.347656 1544307300.2183
MEM 58.347656 1544307300.3186
MEM 58.347656 1544307300.4188
MEM 58.347656 1544307300.5192
MEM 58.347656 1544307300.6193
MEM 58.347656 1544307300.7194
MEM 58.347656 1544307300.8195
MEM 58.347656 1544307300.9196
MEM 58.347656 1544307301.0197
MEM 58.347656 1544307301.1199
MEM 58.398438 1544307301.2200
MEM 58.398438 1544307301.3202
MEM 58.449219 1544307301.4203
MEM 58.449219 1544307301.5205
MEM 58.449219 1544307301.6207
MEM 58.449219 1544307301.7208
MEM 58.449219 1544307301.8209
MEM 58.449219 1544307301.9211
MEM 58.449219 1544307302.0212
MEM 58.449219 1544307302.1214
MEM 58.703125 1544307302.2215
MEM 58.750000 1544307302.3216
MEM 58.750000 1544307302.4218
MEM 58.750000 1544307302.5220
MEM 58.808594 1544307302.6221
MEM 58.808594 1544307302.7222
MEM 58.808594 1544307302.8225
MEM 58.808594 1544307302.9226
MEM 58.808594 1544307303.0228
MEM 58.808594 1544307303.1229
MEM 58.808594 1544307303.2231
MEM 59.062500 1544307303.3233
MEM 59.062500 1544307303.4236
MEM 59.062500 1544307303.5237
MEM 59.167969 1544307303.6238
MEM 59.167969 1544307303.7241
MEM 59.167969 1544307303.8243
MEM 59.167969 1544307303.9247
MEM 59.175781 1544307304.0248
MEM 59.175781 1544307304.1251
MEM 59.175781 1544307304.2252
MEM 59.175781 1544307304.3253
MEM 59.175781 1544307304.4255
MEM 59.175781 1544307304.5256
MEM 59.175781 1544307304.6257
MEM 59.175781 1544307304.7261
MEM 59.175781 1544307304.8264
MEM 59.175781 1544307304.9266
MEM 59.175781 1544307305.0268
MEM 59.175781 1544307305.1271
MEM 59.175781 1544307305.2273
MEM 59.425781 1544307305.3276
MEM 59.425781 1544307305.4277
MEM 59.425781 1544307305.5278
MEM 59.425781 1544307305.6279
MEM 59.425781 1544307305.7280
MEM 59.425781 1544307305.8282
MEM 59.750000 1544307305.9285
MEM 59.750000 1544307306.0287
MEM 59.750000 1544307306.1290
MEM 59.750000 1544307306.2292
MEM 59.750000 1544307306.3294
MEM 59.750000 1544307306.4297
MEM 59.750000 1544307306.5300
MEM 59.750000 1544307306.6301
MEM 59.750000 1544307306.7302
MEM 60.003906 1544307306.8303
MEM 60.003906 1544307306.9304
MEM 60.031250 1544307307.0306
MEM 60.031250 1544307307.1307
MEM 60.031250 1544307307.2308
MEM 60.058594 1544307307.3309
MEM 60.058594 1544307307.4311
MEM 60.070312 1544307307.5314
MEM 60.070312 1544307307.6316
MEM 60.089844 1544307307.7318
MEM 60.097656 1544307307.8320
MEM 60.105469 1544307307.9321
MEM 60.109375 1544307308.0323
MEM 60.109375 1544307308.1324
MEM 60.113281 1544307308.2325
MEM 60.125000 1544307308.3326
MEM 60.125000 1544307308.4328
MEM 60.132812 1544307308.5329
MEM 60.132812 1544307308.6330
MEM 60.132812 1544307308.7334
MEM 60.132812 1544307308.8336
MEM 60.132812 1544307308.9337
MEM 60.132812 1544307309.0339
MEM 60.132812 1544307309.1341
MEM 60.386719 1544307309.2342
MEM 60.386719 1544307309.3343
MEM 60.433594 1544307309.4346
MEM 60.433594 1544307309.5347
MEM 60.441406 1544307309.6348
MEM 60.441406 1544307309.7350
MEM 60.449219 1544307309.8352
MEM 60.453125 1544307309.9354
MEM 60.457031 1544307310.0356
MEM 60.710938 1544307310.1357
MEM 60.746094 1544307310.2361
MEM 60.753906 1544307310.3363
MEM 60.753906 1544307310.4366
MEM 60.757812 1544307310.5368
MEM 60.757812 1544307310.6370
MEM 60.757812 1544307310.7372
MEM 60.757812 1544307310.8373
MEM 60.757812 1544307310.9375
MEM 61.066406 1544307311.0378
MEM 61.074219 1544307311.1379
MEM 61.101562 1544307311.2380
MEM 61.101562 1544307311.3382
MEM 61.355469 1544307311.4383
MEM 61.355469 1544307311.5386
MEM 61.445312 1544307311.6387
MEM 61.445312 1544307311.7388
MEM 61.445312 1544307311.8389
MEM 61.445312 1544307311.9390
MEM 61.699219 1544307312.0393
MEM 61.699219 1544307312.1395
MEM 61.789062 1544307312.2398
MEM 61.789062 1544307312.3399
MEM 62.039062 1544307312.4400
MEM 62.050781 1544307312.5403
MEM 62.050781 1544307312.6404
MEM 62.105469 1544307312.7405
MEM 62.105469 1544307312.8406
MEM 62.105469 1544307312.9407
MEM 62.156250 1544307313.0409
MEM 62.156250 1544307313.1411
MEM 62.156250 1544307313.2413
MEM 62.156250 1544307313.3414
MEM 62.406250 1544307313.4417
MEM 62.781250 1544307313.5418
MEM 62.781250 1544307313.6420
MEM 63.101562 1544307313.7421
MEM 63.355469 1544307313.8422
MEM 63.402344 1544307313.9423
MEM 63.421875 1544307314.0426
MEM 63.421875 1544307314.1427
MEM 63.421875 1544307314.2428
MEM 63.445312 1544307314.3429
MEM 63.445312 1544307314.4430
MEM 63.445312 1544307314.5433
MEM 63.445312 1544307314.6435
MEM 63.699219 1544307314.7437
MEM 63.746094 1544307314.8439
MEM 63.996094 1544307314.9440
MEM 64.101562 1544307315.0443
MEM 64.101562 1544307315.1444
MEM 64.101562 1544307315.2447
MEM 64.101562 1544307315.3449
MEM 64.402344 1544307315.4450
MEM 64.410156 1544307315.5452
MEM 64.414062 1544307315.6456
MEM 64.421875 1544307315.7458
MEM 64.675781 1544307315.8461
MEM 64.675781 1544307315.9464
MEM 64.722656 1544307316.0466
MEM 64.738281 1544307316.1469
MEM 64.785156 1544307316.2470
MEM 64.785156 1544307316.3471
MEM 65.089844 1544307316.4474
MEM 65.464844 1544307316.5476
MEM 65.464844 1544307316.6478
MEM 65.464844 1544307316.7480
MEM 65.714844 1544307316.8483
MEM 66.078125 1544307316.9484
MEM 66.078125 1544307317.0485
MEM 66.078125 1544307317.1486
MEM 66.078125 1544307317.2488
MEM 66.394531 1544307317.3489
MEM 66.394531 1544307317.4490
MEM 66.394531 1544307317.5491
MEM 66.648438 1544307317.6492
MEM 66.746094 1544307317.7493
MEM 66.746094 1544307317.8495
MEM 66.746094 1544307317.9497
MEM 67.000000 1544307318.0499
MEM 67.054688 1544307318.1500
MEM 67.054688 1544307318.2503
MEM 67.054688 1544307318.3505
MEM 67.054688 1544307318.4506
MEM 67.054688 1544307318.5507
MEM 67.054688 1544307318.6508
MEM 67.054688 1544307318.7509
MEM 67.054688 1544307318.8510
MEM 67.054688 1544307318.9511
MEM 67.105469 1544307319.0513
MEM 67.105469 1544307319.1515
MEM 67.105469 1544307319.2516
MEM 67.105469 1544307319.3517
MEM 67.105469 1544307319.4519
MEM 67.105469 1544307319.5521
MEM 67.105469 1544307319.6522
MEM 68.144531 1544307319.7524
MEM 68.152344 1544307319.8525
MEM 68.152344 1544307319.9526
MEM 68.160156 1544307320.0528
MEM 68.167969 1544307320.1530
MEM 68.925781 1544307320.2532
MEM 68.937500 1544307320.3534
MEM 68.937500 1544307320.4535
MEM 69.191406 1544307320.5536
MEM 69.468750 1544307320.6537
MEM 70.046875 1544307320.7539
MEM 70.046875 1544307320.8540
MEM 70.046875 1544307320.9541
MEM 70.304688 1544307321.0543
MEM 70.218750 1544307321.1544
MEM 70.230469 1544307321.2548
MEM 70.277344 1544307321.3550
MEM 70.277344 1544307321.4551
MEM 70.277344 1544307321.5553
MEM 70.277344 1544307321.6554
MEM 70.562500 1544307321.7556
MEM 70.593750 1544307321.8561
MEM 70.593750 1544307321.9564
MEM 70.593750 1544307322.0565
MEM 70.593750 1544307322.1568
MEM 70.593750 1544307322.2570
MEM 70.910156 1544307322.3572
MEM 71.164062 1544307322.4573
MEM 71.300781 1544307322.5577
MEM 71.988281 1544307322.6578
MEM 71.996094 1544307322.7579
MEM 72.035156 1544307322.8581
MEM 73.117188 1544307322.9582
MEM 73.375000 1544307323.0584
MEM 73.375000 1544307323.1585
MEM 73.375000 1544307323.2586
MEM 73.375000 1544307323.3587
MEM 73.375000 1544307323.4589
MEM 73.496094 1544307323.5590
MEM 73.496094 1544307323.6592
MEM 73.750000 1544307323.7595
MEM 73.832031 1544307323.8596
MEM 74.343750 1544307323.9597
MEM 75.003906 1544307324.0600
MEM 75.003906 1544307324.1601
MEM 75.058594 1544307324.2602
MEM 75.058594 1544307324.3605
MEM 75.058594 1544307324.4606
MEM 75.058594 1544307324.5608
MEM 75.445312 1544307324.6609
MEM 75.445312 1544307324.7610
MEM 75.722656 1544307324.8613
MEM 75.757812 1544307324.9615
MEM 75.812500 1544307325.0616
MEM 76.195312 1544307325.1617
MEM 76.195312 1544307325.2618
MEM 76.195312 1544307325.3619
MEM 76.640625 1544307325.4622
MEM 76.640625 1544307325.5623
MEM 76.996094 1544307325.6624
MEM 77.398438 1544307325.7625
MEM 77.699219 1544307325.8628
