CMDLINE /usr/bin/python3 test_memory.py
MEM 3.886719 1544225589.8636
MEM 23.132812 1544225589.9639
MEM 34.324219 1544225590.0643
MEM 50.414062 1544225590.1646
MEM 58.636719 1544225590.2648
MEM 58.636719 1544225590.3650
MEM 58.769531 1544225590.4652
MEM 58.769531 1544225590.5654
MEM 58.769531 1544225590.6655
MEM 58.769531 1544225590.7658
MEM 58.769531 1544225590.8660
MEM 58.769531 1544225590.9661
MEM 58.769531 1544225591.0663
MEM 58.769531 1544225591.1664
MEM 58.769531 1544225591.2665
MEM 58.769531 1544225591.3666
MEM 58.769531 1544225591.4667
MEM 58.769531 1544225591.5670
MEM 58.769531 1544225591.6675
MEM 58.769531 1544225591.7678
MEM 58.769531 1544225591.8680
MEM 59.019531 1544225591.9683
MEM 59.019531 1544225592.0684
MEM 59.019531 1544225592.1685
MEM 59.019531 1544225592.2686
MEM 59.019531 1544225592.3688
MEM 59.019531 1544225592.4689
MEM 59.019531 1544225592.5690
MEM 59.019531 1544225592.6693
MEM 59.019531 1544225592.7695
MEM 59.269531 1544225592.8697
MEM 59.269531 1544225592.9698
MEM 59.269531 1544225593.0699
MEM 59.269531 1544225593.1700
MEM 59.269531 1544225593.2701
MEM 59.269531 1544225593.3703
MEM 59.269531 1544225593.4706
MEM 59.269531 1544225593.5707
MEM 59.519531 1544225593.6708
MEM 59.519531 1544225593.7711
MEM 59.519531 1544225593.8713
MEM 59.519531 1544225593.9715
MEM 59.519531 1544225594.0716
MEM 61.054688 1544225594.1717
MEM 63.042969 1544225594.2719
MEM 64.851562 1544225594.3720
MEM 66.734375 1544225594.4722
MEM 66.796875 1544225594.5723
MEM 66.796875 1544225594.6725
MEM 66.796875 1544225594.7727
MEM 66.796875 1544225594.8730
MEM 68.199219 1544225594.9732
MEM 69.347656 1544225595.0734
MEM 69.683594 1544225595.1735
MEM 69.703125 1544225595.2737
MEM 69.984375 1544225595.3738
MEM 69.984375 1544225595.4739
MEM 71.113281 1544225595.5741
MEM 72.746094 1544225595.6743
MEM 74.429688 1544225595.7744
MEM 76.042969 1544225595.8746
MEM 77.332031 1544225595.9749
MEM 78.968750 1544225596.0751
MEM 80.804688 1544225596.1754
MEM 82.339844 1544225596.2755
MEM 83.738281 1544225596.3757
MEM 85.011719 1544225596.4759
MEM 87.011719 1544225596.5761
MEM 88.292969 1544225596.6763
MEM 90.371094 1544225596.7765
MEM 91.652344 1544225596.8768
MEM 92.937500 1544225596.9771
MEM 94.554688 1544225597.0774
MEM 95.808594 1544225597.1777
MEM 97.488281 1544225597.2780
MEM 99.066406 1544225597.3781
MEM 100.683594 1544225597.4784
MEM 102.316406 1544225597.5785
MEM 103.875000 1544225597.6787
MEM 105.578125 1544225597.7788
MEM 107.207031 1544225597.8789
MEM 108.507812 1544225597.9792
MEM 109.812500 1544225598.0795
MEM 111.433594 1544225598.1798
MEM 113.109375 1544225598.2801
MEM 114.691406 1544225598.3802
MEM 116.339844 1544225598.4804
MEM 117.964844 1544225598.5806
MEM 119.589844 1544225598.6807
MEM 121.332031 1544225598.7808
MEM 123.195312 1544225598.8810
MEM 124.019531 1544225598.9812
MEM 125.941406 1544225599.0814
MEM 127.917969 1544225599.1817
MEM 129.667969 1544225599.2819
MEM 131.019531 1544225599.3822
MEM 131.277344 1544225599.4825
MEM 131.277344 1544225599.5828
MEM 131.277344 1544225599.6829
MEM 132.128906 1544225599.7832
MEM 133.203125 1544225599.8833
MEM 133.203125 1544225599.9834
MEM 133.203125 1544225600.0836
MEM 133.460938 1544225600.1837
MEM 133.460938 1544225600.2839
MEM 133.460938 1544225600.3841
MEM 133.843750 1544225600.4844
MEM 134.617188 1544225600.5845
MEM 134.628906 1544225600.6847
MEM 134.632812 1544225600.7848
MEM 134.640625 1544225600.8849
MEM 135.921875 1544225600.9850
MEM 137.273438 1544225601.0853
MEM 139.105469 1544225601.1854
MEM 140.531250 1544225601.2856
MEM 142.273438 1544225601.3857
MEM 143.046875 1544225601.4860
MEM 144.441406 1544225601.5863
MEM 145.988281 1544225601.6865
MEM 147.687500 1544225601.7867
MEM 149.238281 1544225601.8868
MEM 150.992188 1544225601.9870
MEM 152.570312 1544225602.0871
MEM 154.304688 1544225602.1874
MEM 156.082031 1544225602.2876
MEM 158.000000 1544225602.3879
MEM 159.890625 1544225602.4882
MEM 161.867188 1544225602.5884
MEM 161.792969 1544225602.6886
MEM 161.792969 1544225602.7888
MEM 161.792969 1544225602.8889
MEM 162.335938 1544225602.9891
MEM 163.781250 1544225603.0892
MEM 165.332031 1544225603.1894
MEM 166.507812 1544225603.2897
MEM 167.363281 1544225603.3900
MEM 169.179688 1544225603.4901
MEM 170.613281 1544225603.5904
MEM 172.171875 1544225603.6905
MEM 173.796875 1544225603.7906
MEM 175.421875 1544225603.8909
MEM 176.968750 1544225603.9911
MEM 178.425781 1544225604.0913
MEM 180.054688 1544225604.1915
MEM 181.800781 1544225604.2916
MEM 183.238281 1544225604.3918
MEM 185.042969 1544225604.4919
MEM 186.562500 1544225604.5920
MEM 188.121094 1544225604.6922
MEM 189.820312 1544225604.7923
MEM 191.441406 1544225604.8925
MEM 193.070312 1544225604.9928
MEM 194.703125 1544225605.0930
MEM 196.328125 1544225605.1932
MEM 196.582031 1544225605.2934
MEM 197.250000 1544225605.3935
MEM 197.265625 1544225605.4938
MEM 197.273438 1544225605.5940
MEM 197.277344 1544225605.6943
MEM 198.812500 1544225605.7945
MEM 200.507812 1544225605.8947
MEM 202.359375 1544225605.9950
MEM 204.015625 1544225606.0952
MEM 204.933594 1544225606.1955
MEM 204.933594 1544225606.2956
MEM 204.933594 1544225606.3957
MEM 206.500000 1544225606.4958
MEM 208.347656 1544225606.5960
MEM 210.132812 1544225606.6963
MEM 212.109375 1544225606.7964
MEM 213.707031 1544225606.8966
MEM 215.621094 1544225606.9968
MEM 217.464844 1544225607.0969
MEM 218.042969 1544225607.1971
MEM 218.113281 1544225607.2974
MEM 218.882812 1544225607.3977
MEM 220.468750 1544225607.4979
MEM 222.250000 1544225607.5982
MEM 223.941406 1544225607.6984
MEM 225.503906 1544225607.7985
MEM 227.074219 1544225607.8987
MEM 228.566406 1544225607.9988
MEM 230.335938 1544225608.0991
MEM 231.769531 1544225608.1992
MEM 232.742188 1544225608.2996
