CMDLINE /usr/bin/python3 test_memory.py
MEM 3.972656 1544227649.9332
MEM 22.687500 1544227650.0336
MEM 34.140625 1544227650.1339
MEM 50.371094 1544227650.2341
MEM 58.230469 1544227650.3344
MEM 58.230469 1544227650.4346
MEM 58.421875 1544227650.5348
MEM 58.421875 1544227650.6351
MEM 58.421875 1544227650.7353
MEM 58.421875 1544227650.8354
MEM 58.421875 1544227650.9356
MEM 58.421875 1544227651.0358
MEM 58.421875 1544227651.1361
MEM 58.421875 1544227651.2363
MEM 58.421875 1544227651.3364
MEM 58.421875 1544227651.4366
MEM 58.421875 1544227651.5368
MEM 58.421875 1544227651.6370
MEM 58.421875 1544227651.7373
MEM 58.421875 1544227651.8374
MEM 58.671875 1544227651.9375
MEM 58.671875 1544227652.0377
MEM 58.671875 1544227652.1378
MEM 58.921875 1544227652.2379
MEM 58.921875 1544227652.3380
MEM 58.921875 1544227652.4381
MEM 58.921875 1544227652.5382
MEM 58.921875 1544227652.6383
MEM 58.921875 1544227652.7386
MEM 58.921875 1544227652.8389
MEM 59.171875 1544227652.9392
MEM 59.171875 1544227653.0394
MEM 59.171875 1544227653.1397
MEM 59.171875 1544227653.2399
MEM 59.421875 1544227653.3402
MEM 59.421875 1544227653.4404
MEM 59.421875 1544227653.5407
MEM 59.421875 1544227653.6409
MEM 59.421875 1544227653.7411
MEM 59.421875 1544227653.8413
MEM 59.421875 1544227653.9415
MEM 59.671875 1544227654.0417
MEM 59.671875 1544227654.1418
MEM 59.964844 1544227654.2419
MEM 59.964844 1544227654.3420
MEM 59.964844 1544227654.4421
MEM 59.964844 1544227654.5423
MEM 59.964844 1544227654.6424
MEM 59.964844 1544227654.7425
MEM 60.214844 1544227654.8426
MEM 60.214844 1544227654.9427
MEM 60.214844 1544227655.0430
MEM 60.214844 1544227655.1431
MEM 60.214844 1544227655.2432
MEM 60.214844 1544227655.3433
MEM 60.214844 1544227655.4435
MEM 60.214844 1544227655.5437
