#pop;#push;queue_size;metric;R_c;the_old_tree;the_old_tree_splitleaf;the_old_tree_objective;the_old_tree_lbound;the_new_tree;the_new_tree_splitleaf;the_new_tree_objective;the_new_tree_lbound;the_new_tree_length;the_new_tree_depth;queue
2;39;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-2, -1), (-2, 1), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;40;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-3, -2), (-2, 3), (2,)];[0 0 1];0;0.13777399739394816;0;0;0
2;41;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-3, -2), (-2, 3), (2,)];[0 1 0];0;0.38665194729984076;0;0;0
2;42;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-3, -2), (-2, 3), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;43;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-4, -2), (-2, 4), (2,)];[0 0 1];0;0.11895251194440422;0;0;0
2;44;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-4, -2), (-2, 4), (2,)];[0 1 0];0;0.40865860721007674;0;0;0
2;45;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-4, -2), (-2, 4), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;46;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-5, -2), (-2, 5), (2,)];[0 0 1];0;0.15167294049514984;0;0;0
2;47;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-5, -2), (-2, 5), (2,)];[0 1 0];0;0.349877660344578;0;0;0
2;48;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-5, -2), (-2, 5), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;49;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-6, -2), (-2, 6), (2,)];[0 0 1];0;0.11301650499493267;0;0;0
2;50;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-6, -2), (-2, 6), (2,)];[0 1 0];0;0.4145946141595483;0;0;0
2;51;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-6, -2), (-2, 6), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;52;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-7, -2), (-2, 7), (2,)];[0 0 1];0;0.34466555668162735;0;0;0
2;53;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-7, -2), (-2, 7), (2,)];[0 1 0];0;0.1794708266975532;0;0;0
2;54;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-7, -2), (-2, 7), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;55;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-8, -2), (-2, 8), (2,)];[0 0 1];0;0.38578326335601565;0;0;0
2;56;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-8, -2), (-2, 8), (2,)];[0 1 0];0;0.1418278557984653;0;0;0
2;57;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-8, -2), (-2, 8), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;58;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-9, -2), (-2, 9), (2,)];[0 0 1];0;0.36232879687273783;0;0;0
2;59;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-9, -2), (-2, 9), (2,)];[0 1 0];0;0.15630592152888373;0;0;0
2;60;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-9, -2), (-2, 9), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;61;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-10, -2), (-2, 10), (2,)];[0 0 1];0;0.40750036195164324;0;0;0
2;62;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-10, -2), (-2, 10), (2,)];[0 1 0];0;0.12011075720283769;0;0;0
2;63;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-10, -2), (-2, 10), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;64;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-11, -2), (-2, 11), (2,)];[0 0 1];0;0.3073121470971478;0;0;0
2;65;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-11, -2), (-2, 11), (2,)];[0 1 0];0;0.17454828434921094;0;0;0
2;66;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-11, -2), (-2, 11), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
2;67;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-12, -2), (-2, 12), (2,)];[0 0 1];0;0.3268575358332127;0;0;0
2;68;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-12, -2), (-2, 12), (2,)];[0 1 0];0;0.19814753148979297;0;0;0
2;69;0;0.32273679200380767;0.37108295931663526;[(-2,), (2,)];[1 0];0.41943969885623283;0.09817142029824814;[(-12, -2), (-2, 12), (2,)];[0 1 1];0;0.10317142029824815;0;0;0
3;70;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-3, -2), (-2, -1, 3), (-2, 1, 3), (2,)];[0 0 0 1];0;0.2771304473722311;0;0;0
3;71;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-3, -2), (-2, -1, 3), (-2, 1, 3), (2,)];[0 0 1 0];0;0.23181410163602142;0;0;0
3;72;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-5, -2, 3), (-3, -2), (-2, 3, 5), (2,)];[0 0 0 1];0;0.18939336904589546;0;0;0
3;73;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-5, -2, 3), (-3, -2), (-2, 3, 5), (2,)];[0 0 1 0];0;0.35545678297379474;0;0;0
3;74;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-7, -2, 3), (-3, -2), (-2, 3, 7), (2,)];[0 0 0 1];0;0.34401911104676414;0;0;0
3;75;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-7, -2, 3), (-3, -2), (-2, 3, 7), (2,)];[0 0 1 0];0;0.20112060228753437;0;0;0
3;76;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-8, -2, 3), (-3, -2), (-2, 3, 8), (2,)];[0 0 0 1];0;0.38803243086723616;0;0;0
3;77;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-8, -2, 3), (-3, -2), (-2, 3, 8), (2,)];[0 0 1 0];0;0.1698479803098306;0;0;0
3;78;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-9, -2, 3), (-3, -2), (-2, 3, 9), (2,)];[0 0 0 1];0;0.37283046185029683;0;0;0
3;79;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-9, -2, 3), (-3, -2), (-2, 3, 9), (2,)];[0 0 1 0];0;0.18968293036050382;0;0;0
3;80;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-10, -2, 3), (-3, -2), (-2, 3, 10), (2,)];[0 0 0 1];0;0.4107629940639931;0;0;0
3;81;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-10, -2, 3), (-3, -2), (-2, 3, 10), (2,)];[0 0 1 0];0;0.15392210800637032;0;0;0
3;82;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-11, -2, 3), (-3, -2), (-2, 3, 11), (2,)];[0 0 0 1];0;0.32041986390618216;0;0;0
3;83;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-11, -2, 3), (-3, -2), (-2, 3, 11), (2,)];[0 0 1 0];0;0.200831040972926;0;0;0
3;84;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-12, -2, 3), (-3, -2), (-2, 3, 12), (2,)];[0 0 0 1];0;0.34083393658607214;0;0;0
3;85;0;0.32051364095655105;0.36617055161430434;[(-3, -2), (-2, 3), (2,)];[0 0 1];0.4212545243955408;0.13777399739394816;[(-12, -2, 3), (-3, -2), (-2, 3, 12), (2,)];[0 0 1 0];0;0.2190734037932532;0;0;0
4;86;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-2, -1, 6), (-2, 1, 6), (2,)];[0 0 0 1];0;0.27539307948458086;0;0;0
4;87;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-2, -1, 6), (-2, 1, 6), (2,)];[0 0 1 0];0;0.21791515853481971;0;0;0
4;88;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-3, -2, 6), (-2, 3, 6), (2,)];[0 0 0 1];0;0.14277399739394817;0;0;0
4;89;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-3, -2, 6), (-2, 3, 6), (2,)];[0 0 1 0];0;0.4014970319965253;0;0;0
4;90;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-4, -2, 6), (-2, 4, 6), (2,)];[0 0 0 1];0;0.13104676415230923;0;0;0
4;91;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-4, -2, 6), (-2, 4, 6), (2,)];[0 0 1 0];0;0.41640943969885624;0;0;0
4;92;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-5, -2, 6), (-2, 5, 6), (2,)];[0 0 0 1];0;0.16535977993340087;0;0;0
4;93;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-6, -2), (-5, -2, 6), (-2, 5, 6), (2,)];[0 0 1 0];0;0.3554567829737947;0;0;0
4;94;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-7, -2, 6), (-6, -2), (-2, 6, 7), (2,)];[0 0 0 1];0;0.34416389170406836;0;0;0
4;95;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-7, -2, 6), (-6, -2), (-2, 6, 7), (2,)];[0 0 1 0];0;0.19040683364702474;0;0;0
4;96;0;0.3285374579124579;0.36617055161430434;[(-6, -2), (-2, 6), (2,)];[0 0 1];0.4244396988562328;0.11301650499493267;[(-8, -2, 6), (-6, -2), (-2, 6, 8), (2,)];[0 0 0 1];0;0.3936788765020993;0;0;0
