fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.5338835794960903;0.5440729483282675
2;0.1;1.0;0.541585233441911;0.5286707211120765
3;0.1;1.0;0.5363735070575462;0.5390964378801043
1;0.05;1.0;0.5338835794960903;0.5440729483282675
2;0.05;1.0;0.541585233441911;0.5286707211120765
3;0.05;1.0;0.5363735070575462;0.5390964378801043
1;0.025;2.0;0.6418331885317116;0.6330872774641771
2;0.025;2.0;0.6369163952225841;0.6429192006950478
3;0.025;2.0;0.6380021715526601;0.6407471763683753
1;0.01;3.0;0.6496524761077324;0.6526270082501086
2;0.01;3.0;0.6532030401737242;0.6455256298870548
3;0.01;3.0;0.6380021715526601;0.6407471763683753
1;0.005;4.0;0.6496524761077324;0.6526270082501086
2;0.005;4.0;0.6532030401737242;0.6455256298870548
3;0.005;4.0;0.6608034744842562;0.6624674196350999
1;0.0025;7.0;0.6620330147697654;0.659140251845419
2;0.0025;6.0;0.6560260586319219;0.6585577758470895
3;0.0025;7.0;0.6699239956568946;0.6672458731537794
1;0.001;11.0;0.6718071242397915;0.6647850629613548
2;0.001;12.0;0.6675352877307275;0.6733275412684622
3;0.001;8.0;0.6699239956568946;0.6672458731537794
1;0.0005;14.0;0.6718071242397915;0.6647850629613548
2;0.0005;17.0;0.6725298588490771;0.6711555169417898
3;0.0005;16.0;0.6727470141150923;0.6685490877497828
1;0.0001;36.0;0.6757167680278019;0.6691272253582284
2;0.0001;32.0;0.6766558089033659;0.6694178974804518
3;0.0001;32.0;0.6760043431053203;0.6720243266724587
1;5e-05;43.0;0.6759339704604691;0.6730351715154147
2;5e-05;41.0;0.6775244299674267;0.6676802780191138
3;5e-05;38.0;0.6760043431053203;0.6720243266724587
