time,local_queue_length,global_queue_length
0.06804728507995605,1,1
0.5829751491546631,196,196
1.088679313659668,206,206
1.5923771858215332,187,187
2.0942583084106445,227,227
2.601154088973999,202,202
3.102379083633423,204,204
3.605945110321045,182,183
4.171730279922485,224,224
4.713438272476196,324,324
5.245073318481445,256,256
5.791961193084717,264,264
6.332779169082642,220,220
6.970654249191284,163,163
7.474215269088745,160,160
8.081642150878906,249,249
8.58362603187561,276,276
9.095247268676758,251,252
9.595997333526611,217,217
10.169287204742432,174,174
10.725924253463745,164,164
11.225500345230103,132,132
11.727439165115356,146,146
12.237943172454834,185,185
12.744030237197876,204,204
13.245384216308594,168,168
13.790082216262817,141,141
14.304479122161865,128,128
14.817315101623535,120,120
15.34004020690918,125,125
15.89461612701416,222,222
16.420380353927612,204,204
16.92258620262146,142,142
17.445080280303955,256,256
17.948751211166382,174,173
18.45418119430542,125,125
18.99468231201172,121,121
19.501206159591675,134,134
20.004685163497925,107,107
20.520711183547974,128,129
21.031145095825195,81,80
21.55424213409424,254,254
22.077548027038574,211,211
22.58564305305481,178,178
23.150397300720215,160,160
23.653462171554565,109,109
24.21309518814087,102,102
24.715285062789917,160,160
25.227139234542847,243,243
25.72765803337097,239,239
26.234275102615356,188,188
26.7396080493927,320,321
27.241573333740234,286,286
27.749497175216675,313,313
28.314311265945435,287,287
28.82020401954651,276,276
29.331562995910645,263,263
29.832280158996582,239,239
30.354717254638672,179,179
30.86458420753479,189,189
31.42063021659851,210,210
31.94370937347412,158,158
32.446141958236694,183,183
33.00885200500488,127,127
33.55429410934448,201,201
34.0567262172699,167,167
34.58049011230469,137,137
35.101296186447144,131,131
35.641459226608276,141,141
36.15308713912964,85,85
36.69913721084595,212,212
37.20545315742493,253,252
37.72014021873474,233,233
38.28130221366882,179,179
38.78778123855591,177,177
39.29637932777405,154,154
39.82211923599243,169,169
40.326765060424805,149,149
40.836719274520874,215,215
41.3396680355072,204,204
41.845457315444946,173,173
42.3622100353241,141,140
42.86803722381592,136,136
43.38880205154419,247,248
43.92526316642761,183,183
44.44450926780701,148,148
44.99562120437622,107,107
45.51315212249756,167,167
46.02296233177185,108,108
46.56290626525879,95,95
47.262115240097046,131,131
47.776703119277954,79,79
48.29874324798584,86,86
48.889897108078,121,121
49.39635729789734,229,230
49.90036606788635,226,226
50.404354095458984,153,153
50.93984913825989,71,71
51.47361207008362,9,9
