time,local_queue_length,global_queue_length
0.0666191577911377,1,1
0.5771021842956543,198,197
1.128589153289795,210,210
1.6291730403900146,179,180
2.187075138092041,255,255
2.6894583702087402,206,207
3.217864990234375,181,181
3.7219481468200684,181,181
4.281141996383667,243,243
4.787926197052002,320,320
5.290369033813477,242,242
5.807322263717651,266,266
6.307765007019043,222,222
6.812167167663574,155,155
7.325098037719727,164,164
7.886515378952026,175,175
8.402387380599976,298,298
8.903655290603638,236,236
9.409736394882202,230,230
9.91142725944519,200,200
10.432655096054077,149,149
10.937398195266724,162,162
11.464376211166382,157,157
12.012935161590576,134,134
12.54520320892334,179,179
13.138558149337769,149,149
13.642413139343262,154,154
14.22995924949646,135,135
14.735929250717163,92,92
15.248671054840088,84,84
15.7815523147583,197,197
16.300986289978027,178,178
16.808630228042603,182,182
17.35790514945984,255,255
17.87526035308838,187,187
18.375158071517944,125,125
18.885387182235718,116,116
19.423635244369507,129,129
19.94560217857361,96,96
20.465989112854004,130,130
20.968759059906006,77,77
21.499064207077026,251,251
21.99944019317627,229,229
22.520540237426758,197,197
23.020450115203857,169,169
23.524970054626465,112,112
24.034834384918213,115,115
24.54744601249695,129,129
25.09603524208069,194,194
25.657381296157837,252,252
26.180480003356934,194,194
26.683181047439575,324,324
27.224009037017822,289,289
27.73111915588379,322,321
28.305288314819336,284,284
28.817094326019287,274,274
29.340630054473877,262,261
29.84893226623535,235,235
30.376469135284424,181,181
31.052043199539185,184,184
31.58638620376587,200,200
32.104732275009155,205,205
32.61828112602234,165,165
33.259411334991455,161,161
33.764873027801514,226,226
34.26612114906311,154,154
34.77927613258362,115,115
35.28226923942566,98,98
35.787233114242554,118,118
36.29350519180298,55,55
36.85420536994934,260,260
37.41225504875183,240,240
37.92454719543457,204,204
38.45011520385742,168,168
38.985724210739136,180,180
39.49024224281311,131,131
39.99445033073425,152,152
40.5535831451416,187,187
41.07318925857544,214,214
41.5812873840332,227,228
42.1364963054657,158,158
42.646342277526855,107,107
43.175225257873535,252,253
43.722368001937866,216,216
44.22274613380432,147,147
44.72440719604492,113,113
45.235164165496826,145,144
45.74386405944824,137,137
46.26411437988281,96,96
46.775871992111206,119,119
47.38437032699585,123,123
47.90918707847595,88,87
48.41232895851135,99,99
48.92361116409302,123,123
49.452699184417725,245,245
49.95531702041626,210,210
50.457637310028076,137,137
50.97454619407654,74,74
51.476906061172485,9,9
