time,local_queue_length,global_queue_length
0.04332852363586426,0,1
0.5430495738983154,30,193
1.043125867843628,21,173
1.5431489944458008,0,210
2.0431525707244873,0,219
2.543675422668457,0,264
3.044017791748047,0,267
3.5440316200256348,0,259
4.044039249420166,0,269
4.544353723526001,0,263
5.044110059738159,0,276
5.54425835609436,19,241
6.044264793395996,0,253
6.544304847717285,0,241
7.044332981109619,0,252
7.544307470321655,0,233
8.044295310974121,0,228
8.544496059417725,0,232
9.044297933578491,0,223
9.544320106506348,0,249
10.044314861297607,0,221
10.544312715530396,0,213
11.044306993484497,0,204
11.54431962966919,0,196
12.044312715530396,0,194
12.544315814971924,0,186
13.044325113296509,0,186
13.544328451156616,0,182
14.044414758682251,0,178
14.544410705566406,0,170
15.044484376907349,0,78
15.544477701187134,0,2
16.044444799423218,0,2
16.544466257095337,0,2
17.044461250305176,0,2
17.544458627700806,0,2
18.044467449188232,0,2
18.544485330581665,0,2
19.044487476348877,0,2
19.544471502304077,0,2
20.044505834579468,0,2
20.544477701187134,0,2
21.044502019882202,0,2
21.544503927230835,0,2
22.04450488090515,0,2
22.544495344161987,0,2
23.04448962211609,0,2
23.54448127746582,0,1
24.044522523880005,0,1
24.54458475112915,0,2
25.04453206062317,0,2
25.544530868530273,0,2
26.044506072998047,0,2
26.544530868530273,0,2
27.044538259506226,0,2
27.544516563415527,0,2
28.044516563415527,0,2
28.54453682899475,0,2
29.044530391693115,0,2
29.544524908065796,0,2
30.044557094573975,0,2
30.54454016685486,0,2
31.044564247131348,0,2
31.544543504714966,0,2
32.04454827308655,0,2
32.544578552246094,0,2
33.04458045959473,0,2
33.54457879066467,0,2
34.04459285736084,0,2
34.54457974433899,0,2
35.0446081161499,0,2
35.544625759124756,0,2
36.044586420059204,0,1
36.544583559036255,0,2
37.04459357261658,0,2
37.544583320617676,0,2
38.044597864151,0,2
38.54461479187012,0,2
39.044607639312744,0,2
39.54464292526245,0,2
40.04463505744934,0,2
40.544615030288696,0,2
41.044623374938965,0,2
41.544636726379395,0,2
42.044662952423096,0,2
42.54464864730835,0,1
43.04466152191162,0,2
43.544652462005615,0,2
44.04466772079468,0,2
44.544644594192505,0,2
45.044689893722534,0,2
45.54469704627991,0,2
46.044710874557495,0,2
46.5447211265564,0,1
47.04470229148865,0,2
47.5447211265564,0,2
48.044729232788086,0,2
48.54472994804382,0,2
49.044734954833984,0,2
49.54471158981323,0,2
50.04473829269409,0,2
50.54473066329956,0,2
51.04472756385803,0,2
51.544731855392456,0,2
52.044732332229614,0,2
52.544757604599,0,2
53.044759035110474,0,2
53.544745445251465,0,2
54.0447678565979,0,2
54.5447723865509,0,2
55.04475951194763,0,2
55.544762134552,0,1
56.04479169845581,0,2
56.54483389854431,0,2
57.0447940826416,0,2
57.544806480407715,0,2
58.04481482505798,0,2
58.54480457305908,0,2
59.04481077194214,0,2
59.54480767250061,0,2
60.04483413696289,0,2
60.54484462738037,0,2
61.04483199119568,0,2
61.54485368728638,0,1
62.04484534263611,0,2
62.544822216033936,0,2
63.044859170913696,0,2
63.544832944869995,0,1
64.04480242729187,0,2
64.5448386669159,0,2
65.04484558105469,0,2
65.54484868049622,0,2
66.0448546409607,0,2
66.54487109184265,0,2
67.04487633705139,0,2
67.54486775398254,0,2
68.04488921165466,0,2
68.54489922523499,0,2
69.04486775398254,0,2
69.54486656188965,0,2
70.04489612579346,0,2
70.5449047088623,0,2
71.04490303993225,0,2
71.54488921165466,0,2
72.0448956489563,0,1
72.54487991333008,0,2
73.04489421844482,0,2
