time,local_queue_length,global_queue_length
0.06748127937316895,1,1
0.569587230682373,198,198
1.0768232345581055,208,208
1.5776450634002686,190,190
2.0893421173095703,228,228
2.6211562156677246,197,197
3.1250052452087402,198,198
3.633735179901123,183,183
4.170132160186768,223,223
4.682891130447388,318,318
5.22304630279541,256,256
5.7882702350616455,261,261
6.308382987976074,222,222
6.827885150909424,151,151
7.338052272796631,160,160
7.873725175857544,170,170
8.377090215682983,306,306
8.943738222122192,236,236
9.456077098846436,227,227
9.962606191635132,189,189
10.466838121414185,151,151
10.978432178497314,159,159
11.483083009719849,154,154
11.99982213973999,131,131
12.507654190063477,172,172
13.010408401489258,138,138
13.511841058731079,192,192
14.011763334274292,136,135
14.512162208557129,110,110
15.014230012893677,120,120
15.519063234329224,182,182
16.020174264907837,188,187
16.537586212158203,206,206
17.11076307296753,170,170
17.635870218276978,214,215
18.193580150604248,149,148
18.69736337661743,162,162
19.247793197631836,114,114
19.79510235786438,83,83
20.30140709877014,157,158
20.81889510154724,118,118
21.389934062957764,224,224
21.891530990600586,239,239
22.393426179885864,220,220
22.893776178359985,206,206
23.40090322494507,139,139
23.919875144958496,113,113
24.471960067749023,92,91
24.9747211933136,148,148
25.480732202529907,255,255
25.986111164093018,205,205
26.508113145828247,286,286
27.009586334228516,305,305
27.52000904083252,332,332
28.02390718460083,268,268
28.62006402015686,250,250
29.152571201324463,283,283
29.705568075180054,257,257
30.208035230636597,188,188
30.712525129318237,194,194
31.264097213745117,189,189
31.744794130325317,168,168
32.251615047454834,187,187
32.75187921524048,154,154
33.27678108215332,167,168
33.78741216659546,224,223
34.31434512138367,142,142
34.82619524002075,110,110
35.38801622390747,125,125
35.91216516494751,123,123
36.43237519264221,106,106
36.983551025390625,270,270
37.49243521690369,238,237
38.00386834144592,188,188
38.51241421699524,175,174
39.08344912528992,178,177
39.69485807418823,141,141
40.19602417945862,114,114
40.73624134063721,221,222
41.28231501579285,218,217
41.79272222518921,183,183
42.30207014083862,157,156
42.84040927886963,140,139
43.39890217781067,250,250
43.90304112434387,187,187
44.41661214828491,146,146
44.96581029891968,103,103
45.479302167892456,159,159
45.987415075302124,112,112
46.670610189437866,109,110
47.432371377944946,129,129
47.93529009819031,88,88
48.46203327178955,101,101
49.01795721054077,132,132
49.52255916595459,237,236
50.02438712120056,204,204
50.52552318572998,117,117
51.02923917770386,64,64
