fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.641833188532;0.633087277464
1;2;4;0.663987836664;0.656100738168
1;3;8;0.673327541268;0.66652192792
1;4;16;0.673761946134;0.665219279201
1;5;32;0.675716768028;0.664350846722
2;1;2;0.636916395223;0.642919200695
2;2;4;0.661889250814;0.6629018245
2;3;8;0.670792616721;0.671589921807
2;4;16;0.673181324647;0.671155516942
2;5;32;0.675787187839;0.667680278019
3;1;2;0.638002171553;0.640747176368
3;2;4;0.662540716612;0.661598609904
3;3;8;0.671661237785;0.665942658558
3;4;16;0.674267100977;0.665942658558
3;5;32;0.676438653637;0.671589921807
